url,class,domain_digit_count,subdomain_digit_count,path_digit_count,domain_length,subdomain_length,path_length,isKnownTld,www,com,punnyCode,random_domain,subDomainCount,char_repeat,alexa1m_tld,alexa1m,-,.,/,@,?,&,=,_,domain_in_brand_list,raw_word_count,splitted_word_count,average_word_length,longest_word_length,shortest_word_length,std_word_length,compound_word_count,keyword_count,brand_name_count,negligible_word_count,target_brand_count,target_keyword_count,similar_keyword_count,similar_brand_count,average_compound_words,random_words
journals.cambridge.org/action/displayJournal?jid=KER,0.0,0,0,0,9,8,52,1,0,0,0,0,1,0,1,1,0,2,2,0,1,0,1,0,0,6,6,9.0,14,6,2.449489742783178,5,0,0,7,0,0,0,0,9.6,0
www.examsguide.com/opensource/inoursite.html,0.0,0,0,0,10,3,44,1,2,1,0,0,1,6,0,0,0,3,2,0,0,0,0,0,0,6,8,7.666666666666667,10,3,2.9814239699997196,4,2,0,8,0,0,0,0,9.75,0
https://qrco.de/bfHJv5,1.0,0,0,1,4,0,7,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4.5,5,4,0.5,0,0,0,0,0,0,0,0,0.0,2
www.muppetlabs.com/~breadbox/intercal/,0.0,0,0,0,10,3,38,1,2,1,0,0,1,8,1,1,0,2,3,0,0,0,0,0,0,5,6,8.0,10,3,2.6076809620810595,4,1,0,5,1,0,0,1,9.25,0
home.neopets.com/templates/homepage.phtml?pet_name=ticklemint,0.0,0,0,0,7,4,61,1,0,1,0,0,1,0,1,1,0,3,2,0,1,0,1,1,0,10,6,6.1,10,3,2.3,5,3,0,6,1,1,1,1,8.2,0
https://docs.google.com/presentation/d/e/2PACX-1vS3oPR5Ch4JxK1X700yHUL2i893W5pQPlT310e_6AMv_lo7MhQ7b_uZeXyIee9oZ-CNNeAgnIRYaf-q/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1.0,0,0,25,6,4,167,1,0,0,0,0,1,8,1,1,3,1,5,0,1,3,4,3,1,14,7,8.571428571428571,23,4,4.880197386439636,4,0,1,9,0,2,2,0,10.0,6
www.vioio.com/mp3alarmclock.htm,0.0,0,0,1,5,3,31,1,2,1,0,0,1,6,0,0,0,3,1,0,0,0,0,0,0,5,2,5.6,12,3,3.32264954516723,1,2,0,2,0,2,2,0,12.0,0
https://sites.google.com/view/agricole-05/accueil,1.0,0,0,2,6,5,25,1,0,0,0,0,1,2,1,1,1,0,3,0,0,0,0,0,1,5,2,6.0,8,4,1.4142135623730951,2,0,1,4,0,0,0,0,7.5,0
https://tinyurl.com/myrobloxprofile123,1.0,0,0,3,7,0,19,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,4,11.0,15,7,4.0,2,0,0,4,0,0,0,0,11.0,0
www.phoca.cz/phocagallery/,0.0,0,0,0,5,3,26,0,2,0,0,0,1,7,1,1,0,2,2,0,0,0,0,0,0,3,2,7.333333333333333,12,5,3.299831645537222,1,0,0,4,0,0,0,0,12.0,0
www.unitcircle.com/rekkids/,0.0,0,0,0,10,3,27,1,2,1,0,0,1,7,0,0,0,2,2,0,0,0,0,0,0,4,4,7.5,10,3,2.8722813232690143,2,1,0,4,0,0,0,0,10.0,1
www.animetheme.com/dhtml/,0.0,0,0,0,10,3,25,1,2,1,0,0,1,6,0,0,0,2,2,0,0,0,0,0,0,4,4,7.0,10,3,3.082207001484488,2,1,0,4,0,1,1,0,10.0,0
www.superpages.com/postcards/index.php,0.0,0,0,0,10,3,38,1,2,1,0,0,1,6,1,1,0,3,2,0,0,0,0,0,0,5,5,7.4,10,3,2.870540018881465,3,1,0,6,0,0,0,0,9.666666666666666,0
https://express-mondiai.com/pac/calcul.php,1.0,0,0,0,15,0,15,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,3,1,6.666666666666667,7,6,0.4714045207910317,1,1,0,2,0,0,0,0,7.0,0
www.szewo.com/php/polls/eng/,0.0,0,0,0,5,3,28,1,2,1,0,1,1,7,0,0,0,2,4,0,0,0,0,0,0,4,0,4.5,5,3,0.8660254037844386,0,1,0,1,0,0,0,0,0.0,2
https://q-r.to/bfcIDZ,1.0,0,0,0,3,0,7,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,6.0,6,6,0.0,0,0,0,0,0,0,0,0,0.0,1
https://project.activeadvice.eu/wp-includes/br/,1.0,0,0,0,12,7,16,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,3,9.0,12,7,2.160246899469287,2,0,0,3,0,1,1,0,10.0,0
www.creabit.com/viewer/,0.0,0,0,0,7,3,23,1,2,1,0,0,1,6,0,0,0,2,2,0,0,0,0,0,0,4,2,5.75,7,3,1.6393596310755,2,1,0,3,0,0,0,0,7.0,0
members.tripod.com/~Mortarach/DARKB.HTM,0.0,0,0,0,6,7,39,1,0,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,8,3,5.875,10,3,2.1469455046647083,3,1,0,5,0,1,1,0,8.0,1
en.wikipedia.org/wiki/Eiffel_programming_language,0.0,0,0,0,9,2,49,1,0,0,0,0,1,2,1,1,0,2,2,0,0,0,0,2,1,6,2,7.833333333333333,11,4,2.266911751455907,2,0,2,4,0,0,0,0,9.5,0
www.eleves.ens.fr:8080/home/espie/,0.0,0,0,4,3,10,16,0,1,0,0,0,2,3,1,1,0,1,3,0,0,0,0,0,0,3,0,5.0,6,4,0.816496580927726,0,1,0,2,0,0,0,0,0.0,0
https://l.ead.me/bfHr82,1.0,0,0,2,3,1,7,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4.0,4,4,0.0,0,0,0,0,0,0,0,0,0.0,1
doc.cat-v.org/bell_labs/structural_regexps/,0.0,0,0,0,5,3,43,1,0,0,0,1,1,1,1,1,2,2,3,0,0,0,0,2,0,4,2,6.25,10,4,2.48746859276655,2,0,0,3,1,0,0,1,8.5,0
